datetime,000503,600533,cash,commission,total,returns,equity_curve,drawdown
2015-01-01,0.0,0.0,100000.0,0.0,100000.0,,,
2014-04-09,,0.0,100000.0,0.0,,,,
2014-04-10,,0.0,100000.0,0.0,,,,
2014-04-11,,0.0,100000.0,0.0,,,,
2014-04-14,,0.0,100000.0,0.0,,,,
2014-04-15,,0.0,100000.0,0.0,,,,
2014-04-16,,0.0,100000.0,0.0,,,,
2014-04-17,,0.0,100000.0,0.0,,,,
2014-04-18,,0.0,100000.0,0.0,,,,
2014-04-21,,0.0,100000.0,0.0,,,,
2014-04-22,,0.0,100000.0,0.0,,,,
2014-04-23,,0.0,100000.0,0.0,,,,
2014-04-24,,0.0,100000.0,0.0,,,,
2014-04-25,,0.0,100000.0,0.0,,,,
2014-04-28,,0.0,100000.0,0.0,,,,
2014-04-29,,0.0,100000.0,0.0,,,,
2014-04-30,,0.0,100000.0,0.0,,,,
2014-05-05,,0.0,100000.0,0.0,,,,
2014-05-06,,0.0,100000.0,0.0,,,,
2014-05-07,,0.0,100000.0,0.0,,,,
2014-05-08,,0.0,100000.0,0.0,,,,
2014-05-09,,0.0,100000.0,0.0,,,,
2014-05-12,,0.0,100000.0,0.0,,,,
2014-05-13,,0.0,100000.0,0.0,,,,
2014-05-14,,0.0,100000.0,0.0,,,,
2014-05-15,,0.0,100000.0,0.0,,,,
2014-05-16,,0.0,100000.0,0.0,,,,
2014-05-19,,0.0,100000.0,0.0,,,,
2014-05-20,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2014-05-21,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2014-05-22,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2014-05-23,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2014-05-26,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2014-05-27,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2014-05-28,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2014-05-29,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2014-05-30,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2014-06-03,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2014-06-04,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2014-06-05,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2014-06-06,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2014-06-09,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2014-06-10,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2014-06-11,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2014-06-12,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2014-06-13,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2014-06-16,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2014-06-17,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2014-06-18,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2014-06-20,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2014-06-23,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2014-06-24,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2014-06-25,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2014-06-26,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2014-06-27,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2014-06-30,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2014-07-01,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2014-07-02,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2014-07-03,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2014-07-04,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2014-07-07,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2014-07-08,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2014-07-09,0.0,305.2,310.5,1.3,615.7,-0.993843,0.006156999999999968,0.993843
2014-07-10,0.0,303.3,310.5,1.3,613.8,-0.003085918466785964,0.006137999999999967,0.993862
2014-07-11,0.0,306.2,310.5,1.3,616.7,0.0047246660149886655,0.006166999999999968,0.9938330000000001
2014-07-14,0.0,306.2,310.5,1.3,616.7,0.0,0.006166999999999968,0.9938330000000001
2014-07-15,0.0,310.2,310.5,1.3,620.7,0.006486135884546718,0.006206999999999967,0.993793
2014-07-16,0.0,309.2,310.5,1.3,619.7,-0.0016110842597067965,0.006196999999999966,0.993803
2014-07-17,0.0,309.2,310.5,1.3,619.7,0.0,0.006196999999999966,0.993803
2014-07-18,0.0,309.2,310.5,1.3,619.7,0.0,0.006196999999999966,0.993803
2014-07-21,0.0,308.2,310.5,1.3,618.7,-0.0016136840406648645,0.006186999999999966,0.9938130000000001
2014-07-22,0.0,313.09999999999997,310.5,1.3,623.5999999999999,0.00791983190560841,0.006235999999999965,0.993764
2014-07-23,0.0,313.09999999999997,310.5,1.3,623.5999999999999,0.0,0.006235999999999965,0.993764
2014-07-24,0.0,318.0,310.5,1.3,628.5,0.007857601026298955,0.006284999999999965,0.993715
2014-07-25,0.0,317.09999999999997,310.5,1.3,627.5999999999999,-0.0014319809069214262,0.006275999999999964,0.993724
2014-07-28,0.0,323.0,310.5,1.3,633.5,0.00940089228808172,0.006334999999999965,0.993665
2014-07-29,0.0,355.5,310.5,1.3,666.0,0.05130228887134969,0.006659999999999964,0.99334
2014-07-30,0.0,342.7,310.5,1.3,653.2,-0.019219219219219097,0.006531999999999965,0.993468
2014-07-31,0.0,338.7,310.5,1.3,649.2,-0.006123698714023296,0.006491999999999965,0.9935080000000001
2014-08-01,0.0,331.8,310.5,1.3,642.3,-0.010628465804066733,0.006422999999999964,0.993577
2014-08-04,0.0,337.7,310.5,1.3,648.2,0.009185738751362527,0.006481999999999965,0.993518
2014-08-05,0.0,335.8,310.5,1.3,646.3,-0.002931194075902588,0.006462999999999964,0.993537
2014-08-06,0.0,336.8,310.5,1.3,647.3,0.001547269070091284,0.006472999999999964,0.993527
2014-08-07,0.0,329.9,310.5,1.3,640.4,-0.01065966321643752,0.006403999999999964,0.993596
2014-08-08,0.0,331.8,310.5,1.3,642.3,0.002966895690193594,0.006422999999999964,0.993577
2014-08-11,0.0,335.8,310.5,1.3,646.3,0.006227619492449099,0.006462999999999964,0.993537
2014-08-12,0.0,339.7,310.5,1.3,650.2,0.006034349373356118,0.006501999999999964,0.993498
2014-08-13,0.0,336.8,310.5,1.3,647.3,-0.004460166102737806,0.006472999999999963,0.993527
2014-08-14,0.0,334.8,310.5,1.3,645.3,-0.003089757454039832,0.006452999999999963,0.9935470000000001
2014-08-15,0.0,338.7,310.5,1.3,649.2,0.006043700604370095,0.006491999999999963,0.9935080000000001
2014-08-18,0.0,339.7,310.5,1.3,650.2,0.0015403573629082512,0.0065019999999999635,0.993498
2014-08-19,0.0,336.8,310.5,1.3,647.3,-0.004460166102737806,0.006472999999999962,0.993527
2014-08-20,0.0,341.7,310.5,1.3,652.2,0.007569905762397688,0.006521999999999962,0.9934780000000001
2014-08-21,0.0,343.6,310.5,1.3,654.1,0.0029132168046610563,0.006540999999999961,0.9934590000000001
2014-08-22,0.0,343.6,310.5,1.3,654.1,0.0,0.006540999999999961,0.9934590000000001
2014-08-25,0.0,347.6,310.5,1.3,658.1,0.006115272894053003,0.006580999999999961,0.993419
2014-08-26,0.0,337.7,310.5,1.3,648.2,-0.015043306488375596,0.006481999999999962,0.993518
2014-08-27,0.0,335.8,310.5,1.3,646.3,-0.002931194075902588,0.006462999999999961,0.993537
2014-08-28,0.0,328.90000000000003,310.5,1.3,639.4000000000001,-0.010676156583629637,0.006393999999999963,0.993606
2014-08-29,0.0,332.8,310.5,1.3,643.3,0.006099468251485662,0.006432999999999962,0.9935670000000001
2014-09-01,0.0,332.8,310.5,1.3,643.3,0.0,0.006432999999999962,0.9935670000000001
2014-09-02,0.0,337.7,310.5,1.3,648.2,0.007616974972796564,0.006481999999999963,0.993518
2014-09-03,0.0,339.7,310.5,1.3,650.2,0.003085467448318502,0.006501999999999963,0.993498
2014-09-04,0.0,343.6,310.5,1.3,654.1,0.005998154414026402,0.006540999999999962,0.9934590000000001
2014-09-05,0.0,344.6,310.5,1.3,655.1,0.0015288182235131398,0.006550999999999961,0.993449
2014-09-09,0.0,346.6,310.5,1.3,657.1,0.003052969012364626,0.006570999999999962,0.993429
2014-09-10,0.0,350.5,310.5,1.3,661.0,0.005935169684979424,0.006609999999999962,0.99339
2014-09-11,0.0,347.6,310.5,1.3,658.1,-0.00438729198184562,0.006580999999999963,0.993419
2014-09-12,0.0,352.5,310.5,1.3,663.0,0.007445676948791835,0.0066299999999999614,0.9933700000000001
2014-09-15,0.0,362.40000000000003,310.5,1.3,672.9000000000001,0.014932126696832748,0.006728999999999962,0.993271
2014-09-16,0.0,353.5,310.5,1.3,664.0,-0.013226333779164934,0.006639999999999961,0.99336
2014-09-17,0.0,378.1,310.5,1.3,688.6,0.0370481927710844,0.00688599999999996,0.993114
2014-09-18,0.0,370.2,310.5,1.3,680.7,-0.011472553006099284,0.006806999999999961,0.993193
2014-09-19,0.0,374.2,310.5,1.3,684.7,0.0058763038049067795,0.006846999999999961,0.9931530000000001
2014-09-22,0.0,362.40000000000003,310.5,1.3,672.9000000000001,-0.017233825032861083,0.006728999999999962,0.993271
2014-09-23,0.0,368.29999999999995,310.5,1.3,678.8,0.008768019022142859,0.006787999999999961,0.993212
2014-09-24,0.0,369.20000000000005,310.5,1.3,679.7,0.0013258691809077128,0.006796999999999962,0.9932030000000001
2014-09-25,0.0,363.3,310.5,1.3,673.8,-0.0086803001324115,0.006737999999999961,0.9932620000000001
2014-09-26,0.0,366.29999999999995,310.5,1.3,676.8,0.0044523597506678225,0.006767999999999961,0.993232
2014-09-29,0.0,375.2,310.5,1.3,685.7,0.013150118203309802,0.006856999999999961,0.993143
2014-09-30,0.0,376.1,310.5,1.3,686.6,0.0013125273443197472,0.0068659999999999615,0.9931340000000001
2014-10-08,0.0,381.1,310.5,1.3,691.6,0.0072822604136324465,0.006915999999999961,0.9930840000000001
2014-10-09,0.0,379.09999999999997,310.5,1.3,689.5999999999999,-0.0028918449971083726,0.0068959999999999595,0.993104
2014-10-10,0.0,383.0,310.5,1.3,693.5,0.005655452436194919,0.006934999999999959,0.9930650000000001
2014-10-13,0.0,388.9,310.5,1.3,699.4,0.008507570295601896,0.006993999999999959,0.993006
2014-10-14,0.0,388.9,310.5,1.3,699.4,0.0,0.006993999999999959,0.993006
2014-10-15,0.0,384.0,310.5,1.3,694.5,-0.007006005147269012,0.006944999999999959,0.993055
2014-10-16,0.0,397.8,310.5,1.3,708.3,0.01987041036717052,0.007082999999999957,0.992917
2014-10-17,2259.0,437.2,2259.3,2.6,4955.5,5.996329239023013,0.0495549999999997,0.9504450000000003
2014-10-20,2304.0,416.5,2259.3,2.6,4979.8,0.004903642417515952,0.049797999999999704,0.9502020000000003
2014-10-21,2259.0,391.9,2259.3,2.6,4910.200000000001,-0.013976464918269649,0.049101999999999715,0.9508980000000002
2014-10-22,2171.0,381.1,2259.3,2.6,4811.4,-0.020121379984522236,0.04811399999999971,0.9518860000000002
2014-10-23,2167.0,373.20000000000005,2259.3,2.6,4799.5,-0.0024732925967493324,0.04799499999999972,0.9520050000000003
2014-10-24,2170.0,374.2,2259.3,2.6,4803.5,0.0008334201479320846,0.04803499999999972,0.9519650000000003
2014-10-27,2177.0,367.3,2259.3,2.6,4803.6,2.0818153429802422e-05,0.04803599999999972,0.9519640000000003
2014-10-28,2198.0,379.09999999999997,2259.3,2.6,4836.4,0.006828212174202486,0.048363999999999706,0.9516360000000003
2014-10-29,2256.0,387.0,2259.3,2.6,4902.3,0.013625837399718899,0.049022999999999706,0.9509770000000003
2014-10-30,2229.0,386.0,2259.3,2.6,4874.3,-0.005711604756950872,0.0487429999999997,0.9512570000000002
2014-10-31,2295.0,397.8,2259.3,2.6,4952.1,0.015961266233100124,0.0495209999999997,0.9504790000000003
2014-11-03,2296.0,401.70000000000005,2259.3,2.6,4957.0,0.0009894792108398054,0.0495699999999997,0.9504300000000003
2014-11-04,2360.0,404.7,2259.3,2.6,5024.0,0.013516239661085283,0.05023999999999969,0.9497600000000003
2014-11-05,2338.0,398.8,2259.3,2.6,4996.1,-0.005553343949044498,0.04996099999999969,0.9500390000000003
2014-11-06,2302.0,395.8,2259.3,2.6,4957.1,-0.0078060887492243936,0.0495709999999997,0.9504290000000003
2014-11-07,2377.0,393.9,2259.3,2.6,5030.200000000001,0.01474652518609676,0.050301999999999694,0.9496980000000003
2014-11-10,2480.0,397.8,2259.3,2.6,5137.1,0.02125164009383318,0.05137099999999969,0.9486290000000003
2014-11-11,2361.0,384.0,2259.3,2.6,5004.3,-0.025851161160966307,0.0500429999999997,0.9499570000000003
2014-11-12,2433.0,389.9,2259.3,2.6,5082.200000000001,0.015566612713066919,0.0508219999999997,0.9491780000000003
2014-11-13,2376.0,388.0,2259.3,2.6,5023.3,-0.011589469127543328,0.050232999999999695,0.9497670000000002
2014-11-14,2380.0,382.0,2259.3,2.6,5021.3,-0.00039814464594989385,0.050212999999999695,0.9497870000000003
2014-11-17,2450.0,387.0,2259.3,2.6,5096.3,0.014936371059287357,0.05096299999999969,0.9490370000000004
2014-11-18,2559.0,389.9,2259.3,2.6,5208.200000000001,0.021957106135824134,0.05208199999999969,0.9479180000000003
2014-11-19,2541.0,389.9,2259.3,2.6,5190.200000000001,-0.0034560884758649824,0.05190199999999969,0.9480980000000003
2014-11-20,2545.0,388.9,2259.3,2.6,5193.200000000001,0.0005780124079997062,0.051931999999999694,0.9480680000000004
2014-11-21,2560.0,391.9,2259.3,2.6,5211.200000000001,0.0034660710159439834,0.05211199999999969,0.9478880000000003
2014-11-24,2812.0,408.6,2259.3,2.6,5479.9,0.05156202026404655,0.054798999999999674,0.9452010000000003
2014-11-25,2850.0,405.70000000000005,2259.3,2.6,5515.0,0.0064052263727440995,0.05514999999999968,0.9448500000000003
2014-11-26,2829.0,406.70000000000005,2259.3,2.6,5495.0,-0.0036264732547597323,0.05494999999999968,0.9450500000000003
2014-11-27,2831.0,411.59999999999997,2259.3,2.6,5501.9,0.001255686988171023,0.05501899999999968,0.9449810000000003
2014-11-28,2826.0,420.5,2259.3,2.6,5505.8,0.0007088460350062054,0.055057999999999684,0.9449420000000003
2014-12-01,2875.0,414.49999999999994,2259.3,2.6,5548.8,0.007809945875258739,0.055487999999999676,0.9445120000000004
2014-12-02,2865.0,419.5,2259.3,2.6,5543.8,-0.000901095732410595,0.055437999999999675,0.9445620000000003
2014-12-03,2800.0,428.3,2259.3,2.6,5487.6,-0.010137450845990048,0.05487599999999968,0.9451240000000003
2014-12-04,2867.0,434.2,2259.3,2.6,5560.5,0.01328449595451553,0.05560499999999967,0.9443950000000003
2014-12-05,2925.0,412.6,2259.3,2.6,5596.9,0.006546173905224384,0.055968999999999665,0.9440310000000003
2014-12-08,2859.0,417.5,2259.3,2.6,5535.8,-0.010916757490753715,0.05535799999999967,0.9446420000000003
2014-12-09,2573.0,412.6,2259.3,2.6,5244.9,-0.05254886375952894,0.05244899999999968,0.9475510000000004
2014-12-10,2771.0,420.5,2259.3,2.6,5450.8,0.039257183168411425,0.05450799999999968,0.9454920000000003
2014-12-11,2882.0,433.3,2259.3,2.6,5574.6,0.022712262420195195,0.05574599999999967,0.9442540000000004
2014-12-12,3170.0,432.30000000000007,2259.3,2.6,5861.6,0.05148351451225208,0.05861599999999966,0.9413840000000003
2014-12-15,3150.0,441.09999999999997,2259.3,2.6,5850.4,-0.0019107410945817804,0.058503999999999654,0.9414960000000003
2014-12-16,3176.0,446.1,2259.3,2.6,5881.4,0.0052987829891972815,0.05881399999999965,0.9411860000000003
2014-12-17,3222.9999999999995,437.2,2259.3,2.6,5919.5,0.006478049444009981,0.05919499999999965,0.9408050000000003
2014-12-18,3361.0,431.29999999999995,2259.3,2.6,6051.6,0.02231607399273594,0.060515999999999646,0.9394840000000003
2014-12-19,3306.0,432.30000000000007,2259.3,2.6,5997.6,-0.008923259964306984,0.05997599999999965,0.9400240000000003
2014-12-22,3115.0,434.2,2259.3,2.6,5808.5,-0.03152927837801789,0.05808499999999966,0.9419150000000004
2014-12-23,3102.0,444.09999999999997,2259.3,2.6,5805.4,-0.0005337006111733045,0.058053999999999654,0.9419460000000004
2014-12-24,3098.0,452.9,2259.3,2.6,5810.200000000001,0.0008268164123059751,0.05810199999999967,0.9418980000000003
2014-12-25,3135.0,451.99999999999994,2259.3,2.6,5846.3,0.006213211249182393,0.05846299999999966,0.9415370000000003
2014-12-26,3168.0,465.7,2259.3,2.6,5893.0,0.007987958195782019,0.05892999999999966,0.9410700000000003
2014-12-29,3096.0,496.3,2259.3,2.6,5851.6,-0.007025284235533613,0.05851599999999967,0.9414840000000003
2014-12-30,3062.0,467.69999999999993,2259.3,2.6,5789.0,-0.010697928771618126,0.05788999999999967,0.9421100000000003
2014-12-31,3128.0,492.3,2259.3,2.6,5879.6,0.015650371394023255,0.058795999999999675,0.9412040000000004
2015-01-05,3163.0,499.2,2259.3,2.6,5921.5,0.00712633512483829,0.059214999999999664,0.9407850000000003
2015-01-06,3217.0,478.5,2259.3,2.6,5954.8,0.0056235751076585405,0.059547999999999664,0.9404520000000003
2015-01-07,3158.0,480.5,2259.3,2.6,5897.8,-0.009572109894538827,0.05897799999999967,0.9410220000000004
2015-01-08,3071.0,463.8,2259.3,2.6,5794.1,-0.017582827494998066,0.05794099999999968,0.9420590000000003
2015-01-09,3077.0,460.79999999999995,2259.3,2.6,5797.1,0.0005177680744206103,0.05797099999999968,0.9420290000000003
2015-01-12,3093.0,445.09999999999997,2259.3,2.6,5797.4,5.1750012937334944e-05,0.05797399999999967,0.9420260000000004
2015-01-13,3179.0,446.1,2259.3,2.6,5884.4,0.015006727153551669,0.058843999999999674,0.9411560000000003
2015-01-14,3158.0,440.09999999999997,2259.3,2.6,5857.4,-0.004588403235673999,0.058573999999999675,0.9414260000000003
2015-01-15,3200.0,449.0,2259.3,2.6,5908.3,0.00868986239628522,0.059082999999999684,0.9409170000000003
2015-01-16,3390.9999999999995,451.99999999999994,2259.3,2.6,6102.299999999999,0.03283516409119369,0.06102299999999967,0.9389770000000003
2015-01-19,3311.9999999999995,414.49999999999994,2259.3,2.6,5985.799999999999,-0.019091162348622626,0.059857999999999675,0.9401420000000004
2015-01-20,3497.9999999999995,426.40000000000003,2259.3,2.6,6183.7,0.03306157907046692,0.06183699999999967,0.9381630000000003
2015-01-21,3529.9999999999995,447.0,2259.3,2.6,6236.299999999999,0.008506234131668622,0.06236299999999966,0.9376370000000004
2015-01-22,3550.0,446.1,2259.3,2.6,6255.4,0.0030627134679217516,0.06255399999999967,0.9374460000000003
2015-01-23,3465.0,446.1,2259.3,2.6,6170.4,-0.013588259743581577,0.06170399999999967,0.9382960000000004
2015-01-26,3546.0,451.99999999999994,2259.3,2.6,6257.3,0.014083365746142995,0.06257299999999967,0.9374270000000003
2015-01-27,3595.0000000000005,447.0,2259.3,2.6,6301.300000000001,0.007031786872932599,0.06301299999999968,0.9369870000000003
2015-01-28,3539.0,445.09999999999997,2259.3,2.6,6243.4,-0.009188580134258273,0.06243399999999966,0.9375660000000003
2015-01-29,3767.0,441.09999999999997,2259.3,2.6,6467.4,0.03587788704872352,0.06467399999999966,0.9353260000000003
2015-01-30,3664.0,443.1,2259.3,2.6,6366.4,-0.015616785725330096,0.06366399999999967,0.9363360000000003
2015-02-02,3677.0000000000005,427.29999999999995,2259.3,2.6,6363.6,-0.00043980899723539135,0.06363599999999967,0.9363640000000003
2015-02-03,3685.0,432.30000000000007,2259.3,2.6,6376.6,0.0020428688163931508,0.06376599999999966,0.9362340000000003
2015-02-04,3659.0000000000005,430.3,2259.3,2.6,6348.6,-0.004391054794090854,0.06348599999999965,0.9365140000000003
2015-02-05,3581.0,429.3,2259.3,2.6,6269.6,-0.012443688372239525,0.06269599999999965,0.9373040000000004
2015-02-06,3518.0,417.5,2259.3,2.6,6194.8,-0.01193058568329719,0.061947999999999656,0.9380520000000003
2015-02-09,3576.0,422.40000000000003,2259.3,2.6,6257.700000000001,0.010153677277716877,0.06257699999999966,0.9374230000000003
2015-02-10,3665.9999999999995,425.4,2259.3,2.6,6350.7,0.014861690397430127,0.06350699999999965,0.9364930000000004
2015-02-11,3835.0,425.4,2259.3,2.6,6519.700000000001,0.026611239705859324,0.06519699999999964,0.9348030000000004
2015-02-12,3826.0,430.3,2259.3,2.6,6515.6,-0.0006288632912557768,0.06515599999999964,0.9348440000000003
2015-02-13,3834.0000000000005,437.2,2259.3,2.6,6530.5,0.0022868193259253378,0.06530499999999964,0.9346950000000004
2015-02-16,3885.0,443.1,2259.3,2.6,6587.4,0.008712962254038725,0.06587399999999964,0.9341260000000003
2015-02-17,4127.0,445.09999999999997,2259.3,2.6,6831.4,0.03704041048061457,0.06831399999999964,0.9316860000000003
2015-02-25,4099.0,445.09999999999997,2259.3,2.6,6803.4,-0.00409872061363703,0.06803399999999964,0.9319660000000004
2015-02-26,4070.0000000000005,451.0,2259.3,2.6,6780.300000000001,-0.003395361142957687,0.06780299999999966,0.9321970000000004
2015-02-27,4228.0,458.90000000000003,2259.3,2.6,6946.200000000001,0.024467943896287814,0.06946199999999965,0.9305380000000003
2015-03-02,4217.0,462.8,2259.3,2.6,6939.1,-0.001022141602602944,0.06939099999999965,0.9306090000000004
2015-03-03,4046.0,457.9,2259.3,2.6,6763.200000000001,-0.025349108674035503,0.06763199999999966,0.9323680000000003
2015-03-04,4212.0,458.90000000000003,2259.3,2.6,6930.200000000001,0.02469245327655556,0.06930199999999966,0.9306980000000004
2015-03-05,4181.0,458.90000000000003,2259.3,2.6,6899.200000000001,-0.004473175377333938,0.06899199999999966,0.9310080000000003
2015-03-06,4097.0,457.9,2259.3,2.6,6814.200000000001,-0.012320269016697583,0.06814199999999968,0.9318580000000003
2015-03-09,4100.0,459.8,2259.3,2.6,6819.1,0.0007190866132487095,0.06819099999999967,0.9318090000000003
2015-03-10,4079.0,465.7,2259.3,2.6,6804.0,-0.0022143684650467454,0.06803999999999967,0.9319600000000003
2015-03-11,4050.0,467.69999999999993,2259.3,2.6,6777.0,-0.003968253968253954,0.06776999999999968,0.9322300000000003
2015-03-12,4070.0000000000005,483.5,2259.3,2.6,6812.800000000001,0.005282573410063662,0.06812799999999969,0.9318720000000003
2015-03-13,4100.0,479.5,2259.3,2.6,6838.8,0.0038163457022075686,0.06838799999999969,0.9316120000000003
2015-03-16,4364.0,491.3,2259.3,2.6,7114.6,0.040328712639644326,0.07114599999999967,0.9288540000000003
2015-03-17,4358.0,494.29999999999995,2259.3,2.6,7111.6,-0.0004216681190790661,0.07111599999999967,0.9288840000000004
2015-03-18,4420.0,507.09999999999997,2259.3,2.6,7186.4,0.01051802688565151,0.07186399999999965,0.9281360000000003
